,Unnamed: 0,purchase,HURRICANE,HOLIDAYS,NEWYEARSDAY,DAYAFTERNEWYEARS,BIRTHDAYOFMARTINLUTHERKINGJR,VALENTINESDAY,WASHINGTONSBIRTHDAY,EASTER,MEMORIALDAY,INDEPENDENCEDAY,LABORDAY,COLUMBUSDAY,VETERANSDAY,THANKSGIVING,CHRISTMASDAY,DAYAFTERCHRISTMAS,NEWYEARSEVE,FIRST_OF_MONTH,FIFTEENTH_OF_MONTH,MON,TUE,WED,THU,FRI,SAT,SUN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC ,devils_vader_pe,giants_vader_pe,knicks_vader_pe,mets_vader_pe,yankees_vader_pe,devils_pysent_pe,giants_pysent_pe,knicks_pysent_pe,mets_pysent_pe,yankees_pysent_pe,devils_mean_no_neg_pysent,giants_mean_no_neg_pysent,knicks_mean_no_neg_pysent,mets_mean_no_neg_pysent,yankees_mean_no_neg_pysent,devils_mean_roberta,giants_mean_roberta,knicks_mean_roberta,mets_mean_roberta,yankees_mean_roberta,devils_mean_distilbert,giants_mean_distilbert,knicks_mean_distilbert,mets_mean_distilbert,yankees_mean_distilbert,devils_mean_no_neg_pysent.1,giants_mean_no_neg_pysent.1,knicks_mean_no_neg_pysent.1,mets_mean_no_neg_pysent.1,yankees_mean_no_neg_pysent.1,log_purchase,sum_vader,sum_pysent,sum_roberta,sum_distilbert,sum_no_neg_pysent,next_day_purchase,next_day_log_purchase,sum_pe,knicks_pe,mets_pe,yankees_pe,giants_pe,devils_pe,norm_sum_vader,norm_sum_pysent,norm_sum_roberta,norm_sum_distilbert,norm_sum_no_neg_pysent
169,2012-06-18,0.6946414759270393,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0577744110217441,-0.0053778243572631,-0.0320590118021099,-0.0402812460509911,-0.0540061822081965,-0.1886592591382199,0.0075992381454898,-0.2038479489865472,0.0221471382118008,-0.0513651675187733,-0.1563885364851091,-0.0179017064902431,-0.1555150585884463,0.0035759897612481,-0.0589723342594337,0.2131605068530324,0.2220855271023866,0.3032825756818056,0.1819204493775032,0.1478876368131022,0.0040627511463203,0.0043838704875214,0.0017960108704685,0.0250407827703383,0.0204698644091694,-0.1563885364851091,-0.0179017064902431,-0.1555150585884463,0.0035759897612481,-0.0589723342594337,-0.3643594284953938,-0.1894986754403047,-1.184529291410218,1.06833669582783,0.0557532796838178,-0.7704032921239683,0.6949450833276731,-0.3639224533340512,0.747965812,0.0,0.592604212,0.1553616,0.0,0.0,-0.8575524279400308,-1.789572948088879,0.4243405971440495,0.1510712091752601,-1.900131498330024
178,2012-06-27,0.7057577167366825,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0716574218527851,-0.0641369138653661,0.12461175393841,0.0496115775012336,-0.1936313283995349,0.0164156968601857,-0.0674186505345295,0.1163532387399166,0.0030776682795554,-0.2718259877151638,-0.068242431882841,0.0896353765635522,0.034048676535323,0.0145916627971271,-0.149491789960146,0.1997306755455654,0.2264390247714408,0.1725647156747678,0.2886767906308494,0.2241775205692822,0.0097698143463708,0.0053565012012444,0.0019694229684924,0.0079114019916765,0.0078835207111268,-0.068242431882841,0.0896353765635522,0.034048676535323,0.0145916627971271,-0.149491789960146,-0.3484832778145389,-0.0118874889724722,-0.362315046264005,1.1115887271919056,0.0328906612189109,-0.1589170118939694,0.7798398109109344,-0.2486667510169418,0.843677857,0.0,0.598996682,0.244681175,0.0,0.0,-0.0228536147594061,-0.5197289338107828,0.8988487698570358,-0.7928701382795661,-0.3654722785371503
181,2012-06-30,0.6485510099373171,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0358224537550339,-0.0030421820138129,-0.0239524054390493,0.0355521981505235,0.191753936989719,-0.2122279367195247,-0.0180562872132346,0.0449320752359628,0.1107769444268349,0.2147843978606669,-0.1125661698741355,-0.0373500940289807,-0.0186705067441517,0.088194225433225,0.1518077019621097,0.1884513061926035,0.1742301953388448,0.2058517041217003,0.1732619565252879,0.1907721576986439,0.0026949975390119,0.0094416598691332,0.003496851103929,0.0085544567740195,0.0047579810031832,-0.1125661698741355,-0.0373500940289807,-0.0186705067441517,0.088194225433225,0.1518077019621097,-0.4330146199731425,0.1644890939323463,0.2830395070868389,0.9325673198770804,0.0289459462892767,0.1428303134961336,0.6504973768795604,-0.430018013505716,0.805041157,0.0,0.436668581,0.368372576,0.0,0.0,0.8060430744148978,0.4769694589712021,-1.065154264969684,-0.955737726334692,0.3918289560605966
186,2012-07-05,0.6910316910316895,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0328361830607682,-0.0022220964979335,0.0265379817266077,-0.0912869059326973,-0.0228640375910778,-0.1683970692264714,-0.0663023398774226,0.0291370967401391,-0.0282420049381726,-0.1422961660890677,-0.1198894070319174,-0.0156905772805823,0.0149097122609352,-0.0344351150578804,-0.1132584630065773,0.1988049199663498,0.1906337285386258,0.2300343265921649,0.2138339771746409,0.2407783577059097,0.0081804707088584,0.0206154247376369,0.0095110024700349,0.023643930171556,0.0151401366399163,-0.1198894070319174,-0.0156905772805823,0.0149097122609352,-0.0344351150578804,-0.1132584630065773,-0.3695695937021723,-0.1226712413558691,-0.9128281836230396,1.074085309977691,0.0770909647280025,-0.5367277002320444,0.8101288383999955,-0.210561984211233,0.467498256,0.0,0.467498256,0.0,0.0,0.0,-0.543491241662851,-1.3699523596193586,0.4874073320430771,1.0320518021502323,-1.3136712405420443
188,2012-07-07,0.6170761942616145,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0200100063981983,-0.0042847742939794,-0.0800232872291729,0.1833727200161485,-0.0423553070225046,-0.0053846722020282,-0.0031194074723797,-0.0578452397279862,0.299683271266993,-0.0335356767450834,-0.0222837131319441,-0.0205560011205594,-0.0250876459186945,0.1907175807212245,-0.0361305224828877,0.242706868975879,0.2054653293808223,0.194464044430508,0.2464907842787039,0.2168651183826026,0.0030416626262755,0.0153906144310894,0.0036270444442589,0.007161431997233,0.0108834793859871,-0.0222837131319441,-0.0205560011205594,-0.0250876459186945,0.1907175807212245,-0.0361305224828877,-0.4827627711912879,0.0767193578686898,0.3731176712537931,1.105992145448516,0.0401042328848439,0.1733193961342775,0.7223467736697963,-0.3252499594529415,0.328341877,0.0,0.478673587,-0.15033171,0.0,0.0,0.3935617663257855,0.6160879651997406,0.8374499478192717,-0.4950394865213465,0.4683480101856624
197,2012-07-16,0.6492307063374761,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1515743142931025,-0.0098441642335078,-0.0975475680864229,0.0278655301578677,-0.0339901789611168,0.1547612295478844,0.0125799452568713,-0.0909892547874085,0.0695086957404741,0.0827197384965856,0.113292225015218,-0.0559612986424887,-0.0056231885393995,-0.041939123625967,0.0537926023602336,0.2186877076190126,0.244866284589516,0.1576502844571876,0.1802120481594465,0.2388805824335503,0.0028058149764546,0.0095309888436895,0.002118533560021,0.0147775806682329,0.0048256949229077,0.113292225015218,-0.0559612986424887,-0.0056231885393995,-0.041939123625967,0.0537926023602336,-0.4319671457272314,0.0380579331699226,0.3557027873895996,1.040296907258713,0.0340586129713057,0.1271224331351928,0.6963453633431812,-0.3619095300200584,0.339280629,0.0,0.0,0.339280629,0.0,0.0,0.21186912661259,0.5891920725965155,0.1167224710682139,-0.7446482798511438,0.3524065778344586
204,2012-07-23,0.6471625259805738,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0138925988285044,0.0664520319598873,0.1953373697984665,-0.0146026558397309,0.0196956301314625,-0.1790508648141995,-0.0058315758250212,0.3160281053914324,-0.0729313561870681,-0.078073717789278,-0.0842966533155333,-0.0381260799184816,0.0569775040195257,0.0348016195905216,-0.0027172843918912,0.17469460888034,0.2574837286196106,0.4059383570113116,0.1789864777045057,0.3085403640011117,0.0015109460782695,0.0075960880975839,0.003269148625097,0.0111747006625381,0.0205397808216369,-0.0842966533155333,-0.0381260799184816,0.0569775040195257,0.0348016195905216,-0.0027172843918912,-0.4351578166747741,0.252989777221581,-0.0865811972558519,1.3256435362168797,0.0440906642851254,-0.0667217880317175,0.6963847773677234,-0.3618529303624497,0.234811277,0.0,-0.271365596,0.506176873,0.0,0.0,1.2219595308965256,-0.0938800996853183,3.247195265675741,-0.3304495278823612,-0.134088100517891
206,2012-07-25,0.6632133321116919,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0074448380550411,-0.0840879772924938,0.1010254665064548,-0.0926098077653833,0.1257069604064846,-0.1490546979472685,-0.0647244593310951,0.3323074958802826,-0.1487713665008064,0.1633462436280656,-0.0425915976923181,-0.0433840008075326,0.1578163075661482,-0.1082770766812197,0.1220358561110857,0.2450683187185363,0.184778645590473,0.2369411858645352,0.2348573857817253,0.2202040519434376,0.0023235208897279,0.0067981807928448,0.0018495439203847,0.0294058989789165,0.0153159263441193,-0.0425915976923181,-0.0433840008075326,0.1578163075661482,-0.1082770766812197,0.1220358561110857,-0.4106585726615224,0.0425898038000212,0.3043021927215051,1.1218495878987074,0.0556930709259931,0.1711989769923269,0.6707642703603639,-0.3993375146729545,0.290197134,0.0,-0.219806133,0.510003267,0.0,0.0,0.2331670364552026,0.5098079730690166,1.011418332739832,0.1485853374857656,0.4630263522985944
207,2012-07-26,0.6707642703603639,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0698488068607555,-0.0105765513581162,0.0602865562194456,0.0629769305869125,0.0533392970291527,-0.0628515967066514,0.0482623350050157,0.1013091515646514,0.1526064470135996,0.0395041026478075,-0.0519950205589658,0.0577831505199065,-0.0030704135966725,0.0528489429478894,9.541628157627712e-05,0.2721333628857231,0.2313099423900712,0.2529048396623693,0.1578492893748611,0.1951420155620604,0.0212161045736989,0.0037638164093368,0.0099971923453267,0.0036783371277381,0.0115617518451069,-0.0519950205589658,0.0577831505199065,-0.0030704135966725,0.0528489429478894,9.541628157627712e-05,-0.3993375146729545,0.0961774256166391,0.3901545907118905,1.109339449875085,0.0502172023012073,0.1113241511874677,0.7541842508209957,-0.2821185763422392,0.80217448,0.0,0.80217448,0.0,0.0,0.0,0.485006603664018,0.6424001220655656,0.8741724613492283,-0.0774998248984084,0.3127573169567749
208,2012-07-27,0.7541842508209957,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0745181184542769,-0.0668347635692434,0.1080023450419455,0.1274625304575142,-0.1155649844325565,0.0440551096614323,-0.0454177743685259,0.1529807713327994,0.0336620470694753,-0.0691675947045526,-0.0203930891808345,-0.024627420979144,-0.0032633469054208,-0.0352629390735626,-0.0253028404909605,0.2469754290040128,0.210589019440908,0.1558303462289687,0.2541782256524311,0.1961084248544297,0.0284710563144294,0.0063927474918588,0.0023161267664463,0.009843598863008,0.0163546068988442,-0.0203930891808345,-0.024627420979144,-0.0032633469054208,-0.0352629390735626,-0.0253028404909605,-0.2821185763422392,0.1275832459519367,-0.1015867142692163,1.0636814451807504,0.0633781363345867,-0.2176992732598447,0.5852378786360003,-0.5357368842549047,0.180959972,0.0,-0.278042968,0.45900294,0.0,0.0,0.6326009161741966,-0.1170549182597403,0.3732689038986447,0.4658828075109573,-0.5129992832828398
210,2012-07-29,0.4672298680311466,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.073208738686182,-0.0922130462461891,-0.0780802433731668,0.2110278353848722,-0.0035191285964009,-0.1452585426762593,-0.0114392231087863,-0.1325133214510801,0.2704547193275024,0.0893552198724522,-0.1481718737905028,0.0235212102996342,-0.100883463698659,0.1623994487579885,0.0081444163755377,0.1145021451171487,0.1838568029034649,0.2469666928851178,0.1962476960485516,0.1689925954979025,0.0022932491701794,0.0068291985739051,0.0733990122826071,0.0249297777992644,0.0103748432994877,-0.1481718737905028,0.0235212102996342,-0.100883463698659,0.1623994487579885,0.0081444163755377,-0.7609339196503592,-0.0359933215170665,-0.0393816721481738,0.9105659324521856,0.1178260811254437,-0.1099805241120028,0.6291434420537848,-0.4633960005003769,0.246577578,0.0,0.774785196,-0.528207618,0.0,0.0,-0.1361410163913293,-0.0209842154452011,-1.3065264691156475,2.713904680023828,-0.2426554066187344
211,2012-07-30,0.6291434420537848,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1698828494681504,-0.3061962847687783,-0.0005035717289572,-0.0590549271301302,-0.0342946686579323,0.2168363829864232,-0.195469192520156,-0.0005611392453457,-0.0771582269513189,0.0349652486396257,0.1350076916692333,-0.0443144354479016,0.0008402082265177,-0.0769040388765642,0.0136871519166429,0.2213768058656049,0.2027127897227419,0.2149830006761998,0.1961796217956042,0.178966601898087,0.0022204511239708,0.0065713684295222,0.0087340360406173,0.0198875588720872,0.0072286396707475,0.1350076916692333,-0.0443144354479016,0.0008402082265177,-0.0769040388765642,0.0136871519166429,-0.4633960005003769,-0.2301666028176476,0.0352462278850845,1.0142188199582378,0.044642054136945,0.0566331549758562,0.7342242762559889,-0.3089407435573061,0.221919821,0.0,0.697306677,-0.475386856,0.0,0.0,-1.048674796927369,0.0942725959209474,-0.1693742777442829,-0.3076839955572469,0.1754982413414769
213,2012-08-01,0.4943809382695213,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1061011318787256,0.009565123422302,0.1667523337497925,-0.0047897027536846,0.0878416541568327,0.1430102587092868,-0.0242426930700076,0.1148888822357947,-0.0005077020388248,0.112229942431593,0.1336229451031405,0.0185632594862321,0.0202337111880545,-0.0690739228517928,0.1029955126065109,0.2150905717474718,0.2166804118920117,0.2356040601364591,0.2161641518552122,0.2728759281901203,0.0013445203664256,0.0030695839025428,0.0020257184461859,0.0127701443826128,0.0151549885306862,0.1336229451031405,0.0185632594862321,0.0202337111880545,-0.0690739228517928,0.1029955126065109,-0.7044489288620244,0.3654705404539681,0.7580616993321323,1.156415123821275,0.0343649556284533,0.4126830110642904,0.7157752911418666,-0.3343890004666527,1.279755054,0.0,0.664818408,0.614936646,0.0,0.0,1.750572404009271,1.210603169446114,1.3906289448704232,-0.7320001441612335,1.069083611967483
