,purchase,HURRICANE,HOLIDAYS,NEWYEARSDAY,DAYAFTERNEWYEARS,BIRTHDAYOFMARTINLUTHERKINGJR,VALENTINESDAY,WASHINGTONSBIRTHDAY,EASTER,MEMORIALDAY,INDEPENDENCEDAY,LABORDAY,COLUMBUSDAY,VETERANSDAY,THANKSGIVING,CHRISTMASDAY,DAYAFTERCHRISTMAS,NEWYEARSEVE,FIRST_OF_MONTH,FIFTEENTH_OF_MONTH,MON,TUE,WED,THU,FRI,SAT,SUN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC ,devils_vader_pe,giants_vader_pe,knicks_vader_pe,mets_vader_pe,yankees_vader_pe,devils_pysent_pe,giants_pysent_pe,knicks_pysent_pe,mets_pysent_pe,yankees_pysent_pe,devils_mean_no_neg_pysent,giants_mean_no_neg_pysent,knicks_mean_no_neg_pysent,mets_mean_no_neg_pysent,yankees_mean_no_neg_pysent,devils_mean_roberta,giants_mean_roberta,knicks_mean_roberta,mets_mean_roberta,yankees_mean_roberta,devils_mean_distilbert,giants_mean_distilbert,knicks_mean_distilbert,mets_mean_distilbert,yankees_mean_distilbert,devils_mean_no_neg_pysent.1,giants_mean_no_neg_pysent.1,knicks_mean_no_neg_pysent.1,mets_mean_no_neg_pysent.1,yankees_mean_no_neg_pysent.1,log_purchase,sum_vader,sum_pysent,sum_roberta,sum_distilbert,sum_no_neg_pysent,next_day_purchase,next_day_log_purchase,sum_pe,knicks_pe,mets_pe,yankees_pe,giants_pe,devils_pe,norm_sum_vader,norm_sum_pysent,norm_sum_roberta,norm_sum_distilbert,norm_sum_no_neg_pysent
2012-09-28,0.7758423272377959,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0276272225564533,-0.0546201207267782,0.303178795437071,0.1017226254354422,-0.0325709589291375,0.0175282361448974,0.0026136316192622,0.175960166598467,0.0600625883331403,-0.0466055178486889,-0.0469334118071877,-0.0051679102903021,0.156069081830537,-0.0021386866832946,0.0303449214619115,0.2260549673094199,0.201561763603713,0.2505135374059054,0.206219016482602,0.1956006276617809,0.0048521968341306,0.0026243535097366,0.0019772168373244,0.0095809696830462,0.0042753981523029,-0.0469334118071877,-0.0051679102903021,0.156069081830537,-0.0021386866832946,0.0303449214619115,-0.2538059659933339,0.29008311866014413,0.47390709387040614,1.079949912463421,0.0233101350165407,0.2643479890233282,0.6414540863006553,-0.44401766989526925,0.873113987,0.0,0.459246063,0.413867924,0.0,0.0,1.396282830523151,0.7717491517673508,0.5517465485244365,-1.1884265277050756,0.6968042713619702
2012-09-29,0.6414540863006553,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0893816535453458,-0.0135455977583408,-0.0718311716487235,-0.0051512633707283,-0.105085786103336,-0.1401702709122216,0.016951917751678,-0.2126869130009239,0.0322829061986762,-0.2752648938827741,-0.0673026435825541,-0.0244736094842595,-0.0197883046731682,-0.050566365446509,-0.1150842347101678,0.1372750759745637,0.2110217314882608,0.3457544200398303,0.1803297908918466,0.2000027960650906,0.0084018443070817,0.0171690058643544,0.1024831799597315,0.0091709576594439,0.0137802636978301,-0.0673026435825541,-0.0244736094842595,-0.0197883046731682,-0.050566365446509,-0.1150842347101678,-0.44401766989526925,-0.10623216533578281,-1.1333175696388824,1.074383814459592,0.15100525148844157,-0.5544303157933173,0.49682781285052435,-0.6995117659312736,-1.214197411,0.0,-0.586678543,-0.627518868,0.0,0.0,-0.46623441163634105,-1.7104805476152753,0.49068215664174675,4.083791109609961,-1.3580998451794823
2012-09-30,0.49682781285052435,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.0154002618091887,-0.0788869975784663,-0.022059906335703,-0.1001544234658163,0.2165484844183308,-0.1867362846842749,0.1154432665994141,0.0615985073449657,-0.1757390593872403,0.0212633601931076,0.0183910647437323,0.0852080319323743,0.1956024033468168,-0.0527911569910812,-0.0646641415085647,0.1328119591344147,0.1535072023880367,0.3027873232960701,0.1674715767789459,0.2388046526797022,0.0035241713230788,0.0068357607821661,0.0151233468418164,0.0124357470814179,0.003792979807962,0.0183910647437323,0.0852080319323743,0.1956024033468168,-0.0527911569910812,-0.0646641415085647,-0.6995117659312736,4.6895229156518337e-05,0.19932219311252725,0.9953827142771695,0.0417120058364412,0.363492403046555,0.6832684548517471,-0.3808674441446655,-0.647277671,0.0,-0.528010689,0.435233018,-0.5545,0.0,0.03323303455164585,0.3476747761445685,-0.3760208977034109,-0.42865849133211736,0.9456289694639088
2012-10-01,0.6832684548517471,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0345478000860158,0.0061204715052924,-0.1078317944900115,-0.080438327340135,-0.1074019733834331,0.0526456176675293,-0.1592530937931188,0.0588842313420069,-0.110959129992487,0.0010869782733155,-0.023802741229116,-0.087484289652724,0.0514456882103423,-0.0815718343222747,-0.0257684184581045,0.2012213056108781,0.2091839225655089,0.1861768032805147,0.195265665874289,0.1884767138410943,0.0077648055718911,0.0187647094972649,0.0024397954369884,0.0145529588647019,0.0038746215862126,-0.023802741229116,-0.087484289652724,0.0514456882103423,-0.0815718343222747,-0.0257684184581045,-0.3808674441446655,-0.25500382362227136,-0.491958587406508,0.9803244111722851,0.0473968909570589,-0.3343631909037538,0.8274682564528111,-0.18938453324881413,-0.083499903,0.0,-0.47520962,0.391709717,0.0,0.0,-1.1653994196305641,-0.7199529942445059,-0.541222107105838,-0.1939435513475036,-0.8057930263608355
2012-10-02,0.8274682564528111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1793069799225857,0.0137159176551136,0.0776425970802017,0.0226761380469396,-0.0537345134188272,-0.3134195403193763,-0.0683010666219567,0.0744624477554432,0.0528810996631322,0.0096002691940431,0.0250055648874303,0.0001991039235736,-0.1147279231772157,0.013658509241435,0.0072535473691446,0.2166766068299434,0.2158479731908595,0.2415731491521001,0.1695185081323143,0.187377858251566,0.0014068543709331,0.0194459993598674,0.0027026703814043,0.0150486231843023,0.004341180469164,0.0250055648874303,0.0001991039235736,-0.1147279231772157,0.013658509241435,0.0072535473691446,-0.18938453324881413,-0.119006840559158,-0.38199918583997894,1.0309940955567833,0.0429453277656711,-0.1372223955112644,0.660670213965511,-0.4145004835030161,-0.075149913,0.0,-0.427688658,0.352538745,0.0,0.0,-0.526270079770625,-0.5501295100162218,0.014663445340187627,-0.37773765890385347,-0.3110248704300298
2012-10-03,0.660670213965511,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0591748169707717,0.0507660430613195,-0.0102466271668254,0.0818480242422456,-0.1537410620769445,0.1720224002919533,0.0575474493285297,0.0208689800889774,0.106602759851772,0.0442777020295826,0.0557834799913881,0.0589275319680989,-0.0882727553569077,0.1346148778474995,-0.0231971753897952,0.1674860462259787,0.1906133991068774,0.2693986009925286,0.1565763107792008,0.2402580995799507,0.0069351649032726,0.0156201678120226,0.0046809987397864,0.0061677225106904,0.0051728799226111,0.0557834799913881,0.0589275319680989,-0.0882727553569077,0.1346148778474995,-0.0231971753897952,-0.4145004835030161,0.02780119503056691,0.6770312097113822,1.0243324566845362,0.0385769338883831,0.2757119181205672,0.690154953753299,-0.3708391359460923,0.932365078,0.0,0.615080208,0.31728487,0.0,0.0,0.1636667170556037,1.0854580715274624,-0.05841987557798914,-0.5580979098116852,0.7253245491277948
2012-10-07,0.7527243121045034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.198949017970092,0.0703996004917445,0.10474821373495,0.0558471012718483,-0.0743155543954164,-0.0918394728342175,0.1349714240262748,0.0083244735924851,-0.0466149036262729,-0.1572530006234577,-0.1519770835373131,0.1064372378829415,-0.0381324576842662,-0.0497452349651724,-0.05964698317777,0.1578633852116763,0.1939747702888199,0.3224199997882048,0.2174866720767042,0.1715041340218338,0.0064163281529908,0.0027700243851637,0.0029700056378108,0.0111732397332878,0.0096003846779192,-0.1519770835373131,0.1064372378829415,-0.0381324576842662,-0.0497452349651724,-0.05964698317777,-0.28405623760343757,-0.042269656866965634,-0.5385405224283486,1.063248961387239,0.0329299825871723,-0.3861290429631604,0.7570063077204424,-0.27838369305570154,0.786506383,0.0,0.0,0.285556383,0.50095,0.0,-0.16563718592811214,-0.7918950600870365,0.36852422282552516,-0.7912466555889283,-0.9357108098040245
2012-10-08,0.7570063077204424,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0364661161730828,-0.0212543465646101,0.140098392361455,-0.0454541161102001,-0.2518112768898538,0.1814490785079997,-0.0066818466260971,0.1611292988494641,-0.0937914446955651,-0.1196837817193705,-0.0174702583712684,-0.0230735793342052,-0.0402622405446657,-0.0394327845659526,-0.0383842777048948,0.1322648639066351,0.2105472098922579,0.2968073280062526,0.2164365399429898,0.19108602318988,0.0062578943745594,0.0224341133822716,0.0025975428761739,0.0294212243986829,0.0030824984304019,-0.0174702583712684,-0.0230735793342052,-0.0402622405446657,-0.0394327845659526,-0.0383842777048948,-0.27838369305570154,-0.21488746337629178,-0.1948249767255423,1.0471419649380154,0.0637932734620897,-0.3172462810419734,0.6453173959864366,-0.4380129964206926,-0.742999255,0.0,0.0,-0.742999255,0.0,0.0,-0.9768691870907903,-0.26105394306476687,0.19181803789096796,0.48302279959520633,-0.762834378909474
2012-10-10,0.6897621798391093,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1771006652113082,0.0695227904907972,-0.0775380766970253,-0.0187771085612164,-0.0377278654619399,-0.2345894191462776,0.2528776000772512,0.1074672404200323,-0.0149025650644597,0.0253226608164278,-0.0356381840626328,0.1695524806654725,0.0874545556647054,-0.021236943990927,0.0883775721076877,0.1409288501470452,0.2372839479805461,0.3426428198376122,0.2288225594936441,0.1557570169913821,0.0045953573620256,0.0086214390958321,0.0033262058080734,0.0045001633502165,0.0108266646481509,-0.0356381840626328,0.1695524806654725,0.0874545556647054,-0.021236943990927,0.0883775721076877,-0.3714084077019614,-0.2416209254406926,0.7131944778715855,1.1054351944502296,0.0318698302642985,0.5770189607686116,0.6215720932386097,-0.4755033759837938,0.331300671,0.0,0.0,0.331300671,0.0,0.0,-1.1025053561921438,1.1413093412920743,0.8313397654266124,-0.8350177404144444,1.4815207974138913
2012-10-11,0.6215720932386097,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1464350431346218,0.1349624712407125,-0.0991688278508522,-0.0042695507663192,-0.0119973527850926,-0.2814528153094069,0.1234271096057408,-0.0379148694052505,-0.1119770351574731,0.0930492582012539,-0.1235967433857854,0.1391927180450483,0.0013481431283876,0.0087324249594254,0.0697316120931997,0.3271055522685249,0.2684772935158914,0.1987956993897179,0.2052699276655959,0.1670754607534036,0.0031276178876092,0.0111128307030572,0.0448443113681215,0.0036229154252302,0.0095915612373209,-0.1235967433857854,0.1391927180450483,0.0013481431283876,0.0087324249594254,0.0697316120931997,-0.4755033759837938,-0.12690830329617328,-0.024052042384584596,1.1667239335931336,0.072299236621339,0.1908163096805512,0.7172856094360994,-0.3322811781782791,-0.701829397,0.0,0.0,-0.701829397,0.0,0.0,-0.5634036730996245,0.0026911692994788733,1.5037245460114443,0.8342131209605048,0.5122603604048821
2012-10-12,0.7172856094360994,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0663237025638497,-0.0478642522447575,-0.055714445065767,-0.0012675956896874,0.1245662644029643,-0.0363285470690276,-0.0508913924242641,0.1023939933834778,-0.1107873156656471,0.1318066702247456,-0.1112370690472069,-0.0295579623975381,0.0786484159874927,-0.0575545267766558,0.0942462675583319,0.225853037922398,0.2055358471650611,0.2437348895539301,0.2213051820845623,0.2233186404983602,0.0038660007718901,0.0126732024522313,0.0227294947313943,0.014707514031568,0.0085895089438446,-0.1112370690472069,-0.0295579623975381,0.0786484159874927,-0.0575545267766558,0.0942462675583319,-0.3322811781782791,-0.0466037311610973,-0.014716340901867797,1.1197475972243116,0.0625657209309283,-0.05090974935115239,0.619318797240116,-0.47913511910069073,0.368353543,0.0,0.0,0.368353543,0.0,0.0,-0.18600553513793824,0.017109412132047336,0.9883578723981774,0.43234017143891357,-0.09440431409553056
2012-10-13,0.619318797240116,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.064292501898108,0.0529521468285541,0.0213954609792712,-0.0324398157125553,-0.0310510079062706,0.1256544875792086,0.0005916538808341,0.0451430035567128,-0.0599026490495388,0.110918535175163,-1.527904632041277e-05,-0.0504559896292943,-0.0601391338576995,0.0373603343246909,0.0399251597710009,0.1354037659216879,0.2131956036222499,0.2681280931887718,0.2135155408780389,0.1613520043334796,0.0066579435968175,0.0058784515172945,0.0024725299176329,0.0133583406144197,0.0061008234994827,-1.527904632041277e-05,-0.0504559896292943,-0.0601391338576995,0.0373603343246909,0.0399251597710009,-0.47913511910069073,-0.05343571770910861,0.15575521426713484,0.9915950079442281,0.0344680891456473,-0.06664981687524482,0.4859474603242291,-0.7216547672543003,-0.668481811,0.0,0.0,-0.668481811,0.0,0.0,-0.2181130345398628,0.2803890685159395,-0.41757496011700335,-0.7277420146150798,-0.13390747308206608
2012-10-14,0.4859474603242291,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0435515558018644,0.0110984723339497,-0.0738465466571174,-0.0267938497294446,-0.1068428614303644,0.004503369712289,0.0281863841364366,-0.0315065097705724,-0.1554625744307183,-0.2973024296746899,-0.1001118342378541,0.0834630948567739,0.0887751040581421,-0.0571718253939102,0.0079588348139334,0.1603528866544365,0.2350398594664816,0.2470822565257548,0.2046647952839114,0.1651448511753732,0.0087687115109905,0.0105678467981181,0.0031671751197427,0.0236614216270785,0.0072645258964266,-0.1001118342378541,0.0834630948567739,0.0887751040581421,-0.0571718253939102,0.0079588348139334,-0.7216547672543003,-0.2399363412848411,-0.4057550118330849,1.0122846491059576,0.0534296809523564,0.04582674819417021,0.6790228418366117,-0.3871005115818858,-0.15077863,0.0,0.0,-0.60163363,0.450855,0.0,-1.0945885102797002,-0.5868184796122341,-0.19059362508787359,0.05513552617872338,0.14837718836526145
