date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,rangers_mask,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,islanders_mask,devils_wins,devils_losses,devils_num_events,devils_ties,devils_mask,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,knicks_mask,mets_wins,mets_losses,mets_num_events,mets_ties,mets_mask,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,yankees_mask,giants_wins,giants_losses,giants_num_events,giants_ties,giants_mask,jets_wins,jets_losses,jets_num_events,jets_ties,jets_mask,nets_wins,nets_losses,nets_num_events,nets_ties,nets_mask,num_events,sum_wins,sum_losses,sports_composite,composite_mask,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,old_sum_pe,mean_pe
29/01/2012,,,,,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
30/01/2012,,,,,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
31/01/2012,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,4,3,1,2,0,0.75,0.25,-0.643340602,-0.643340602,0.511703351,0.511703351,0.554659291,0.554659291,0.714538475,0.714538475,0,,0,,0,,0,,0,,1.137560515,1.269197766,1.137560515,0.284390129
01/02/2012,1,0,1,0,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0.420993458,0.420993458,0,,0,,0,,0,,0,,0,,0,,0,,0.420993458,0,0.420993458,0.420993458
02/02/2012,,,,,1,0,,,,,1,1,0,1,0,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,1,1,0,0,0.5,0.5,0,,0,,0.499193362,0.499193362,-0.356915372,-0.356915372,0,,0,,0,,0,,0,,0.142277989,0.14227799,0.142277989,0.071138995
03/02/2012,,,,,1,0,1,0,1,0,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,1,1,0,0,0.5,0.5,0,,0.460533016,0.460533016,0,,-0.321223835,-0.321223835,0,,0,,0,,0,,0,,0.139309181,-0.321223835,0.139309181,0.06965459
04/02/2012,,,,,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,2,1,1,0,0.666666667,0.333333333,0,,-0.585520286,-0.585520286,0.449274026,0.449274026,0.710898548,0.710898548,0,,0,,0,,0,,0,,0.574652288,1.160172574,0.574652288,0.191550763
05/02/2012,1,0,1,0,1,0,,,,,1,1,0,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,2,0,2,0,1,0,0.378894112,0.378894112,0,,0.404346623,0.404346623,0,,0,,0,,0,,0,,0,,0.783240736,0.404346623,0.783240736,0.391620368
06/02/2012,,,,,1,0,,,,,1,,,,,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0,,0,,0,,0.639808693,0.639808693,0,,0,,0,,0,,0,,0.639808693,0.639808693,0.639808693,0.639808693
07/02/2012,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,2,1,1,0,0.666666667,0.333333333,-0.658995299,-0.658995299,0.473031743,0.473031743,0.363911961,0.363911961,0,,0,,0,,0,,0,,0,,0.177948405,0.363911961,0.177948405,0.059316135
