date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
13/02/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,0,,-0.589648822,-0.589648822,0,,0,,0,,0,,0.451671023,0.451671023,-0.137977799,-0.137977799,-0.068988899
14/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.617540607,-0.617540607,0,,0,,0,,0,,0,,0,,-0.617540607,-0.617540607,-0.617540607
15/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
16/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
17/02/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.444213454,0.444213454,0,,0,,0,,0,,0,,0,,0.444213454,0.444213454,0.444213454
18/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
19/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,-0.600207892,-0.600207892,0,,0,,0,,0,,0,,0.40650392,0.40650392,-0.193703971,-0.193703971,-0.096851986
20/02/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,0,,-0.530683939,-0.530683939,0,,0,,0,,0,,0.365853528,0.365853528,-0.164830411,-0.164830411,-0.082415206
21/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.540187103,-0.540187103,0,,0,,0,,0,,0,,0,,-0.540187103,-0.540187103,-0.540187103
22/02/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,0,2,-2,0,1,0,,-0.477615546,-0.477615546,0,,0,,0,,0,,-0.670731824,-0.670731824,-1.14834737,-1.14834737,-0.574173685
