,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,devils_wins,devils_losses,devils_num_events,devils_ties,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
2013-01-29,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,1.0,1.0,0.666666666667,0.333333333333,0.523755,0.523755,0.550855,0.550855,-0.57195,-0.57195,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.50266,0.50266,0.167553333333
2013-01-30,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,0.47951633885,0.47951633885,0.0,,0.0,,0.0,,0.0,,-0.661471937725,-0.661471937725,-0.181955598876,-0.181955598876,-0.0909777994378
2013-01-31,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,-0.5286205,-0.5286205,0.4957695,0.4957695,-0.514755,-0.514755,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.547606,-0.547606,-0.182535333333
2013-02-01,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,2.0,0.0,2.0,1.0,0.0,0.0,,0.0,,0.0,,0.431564704965,0.431564704965,0.0,,0.0,,0.0,,0.0,,0.404675256047,0.404675256047,0.836239961012,0.836239961012,0.418119980506
2013-02-02,1.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,3,2.0,1.0,1.0,0.666666666667,0.333333333333,0.52424155,0.52424155,0.0,,-0.4632795,-0.4632795,0.388408234468,0.388408234468,0.0,,0.0,,0.0,,0.0,,0.0,,0.449370284468,0.449370284468,0.149790094823
2013-02-03,,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,0.0,,-0.55380745,-0.55380745,0.58304845,0.58304845,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.029241,0.029241,0.0146205
2013-02-04,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.349567411021,0.349567411021,0.0,,0.0,,0.0,,0.0,,0.0,,0.349567411021,0.349567411021,0.349567411021
2013-02-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,4,1.0,3.0,-2.0,0.25,0.75,-0.528182605,-0.528182605,-0.498426705,-0.498426705,0.524743605,0.524743605,0.0,,0.0,,0.0,,0.0,,0.0,,-0.635792269557,-0.635792269557,-1.13765797456,-1.13765797456,-0.284414493639
2013-02-06,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,-0.685389330081,-0.685389330081,0.0,,0.0,,0.0,,0.0,,0.427786957398,0.427786957398,-0.257602372683,-0.257602372683,-0.128801186341
2013-02-07,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,1.0,1.0,0.666666666667,0.333333333333,0.5246356555,0.5246356555,-0.4485840345,-0.4485840345,0.4722692445,0.4722692445,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.5483208655,0.5483208655,0.182773621833
