,11,10,aa,12,ma,ba,5+6,pro,phd,sc1,7+8,hs,9,ns,n4,sc2,population,population_over_18,income,z_income,mbsa,workforce,mbsa_workforce,z_mbsa_workforce,education,z_education,ses,year,ZIP,desc
11236,0.014954865460199543,0.010041895218762146,0.06428432600526929,0.015716105904202478,0.05004751004189522,0.10870621517729884,0.013184036625923207,0.006111519025612232,0.0019219971493974863,0.026891763486373257,0.014944067723405174,0.21159784909083057,0.008697576987863345,0.010193063533883297,0.004491858506457046,0.10503498466721375,92612.0,70258.0,24503.5,-0.4296684780248343,0.13977130393469528,0.516849868267611,0.27043686554249413,-0.08616257994637273,8.666576685526714,-0.35641326274656504,-0.8722443207177721,2011.5,11236,Brooklyn:Canarsie and Flatlands
11237,0.023095772922197264,0.03574637533183582,0.02737390238921789,0.025995507453542985,0.02451500918929957,0.0679906064937717,0.11012865019399633,0.004655911782724117,0.0006330406371247702,0.01522360628956504,0.037380028588931996,0.13413314274045335,0.030978149887686338,0.02405554421074127,0.04300592199305697,0.04729426179293445,48970.0,36938.0,15482.5,-0.7691566601581338,0.06510108229528283,0.5434347559730447,0.11972219266678336,-1.3535991393375695,6.625724933632836,-1.4125170956235689,-3.535272895119272,2011.5,11237,Brooklyn:Bushwick and Williamsburg
11238,0.014116812978293054,0.009967262339178848,0.04014012552911984,0.017401005067039222,0.13116958942385887,0.24337427278603746,0.010384302604416456,0.03931647100527556,0.014043830931876472,0.02023687887065496,0.008330379298121233,0.12394436682861731,0.0074337427278603745,0.010248764518214234,0.004994057176220364,0.09105031590800092,47957.0,40418.0,38018.5,0.07847736872951303,0.2639239318556207,0.6598202556456826,0.3998179839484255,1.0002177314653848,11.374304064057384,1.0443384381536838,2.1230335383485817,2011.5,11238,Brooklyn:Central Brooklyn
11239,0.013669662412204516,0.008307529642776226,0.058341514991314854,0.021826146061475718,0.05109130730307379,0.08530322483196134,0.007778868665508648,0.008685144626538781,0.003700626840873046,0.01771014273846386,0.018616418699493997,0.21580696322030057,0.008420814137904992,0.024129597462427307,0.004984517785665735,0.1051280114794955,13241.0,10628.0,17872.5,-0.6792611113202813,0.10486368099086171,0.3236538025828865,0.3239375577485294,0.36268425063751497,8.27681066384714,-0.5579320335228076,-0.8745088942055739,2011.5,11239,Brooklyn:Canarsie and Flatlands
11354,0.020358367562271544,0.022308474959490524,0.05043900968459132,0.011936164600369295,0.04632211629046237,0.16755850322191657,0.02685872555300147,0.012981874364095414,0.004559671402193164,0.024352790443531672,0.02636884350152617,0.23997625956212082,0.02573764931981761,0.024352790443531676,0.01112597505369861,0.07718468553340618,53074.0,44794.0,23895.0,-0.45252256337322394,0.11691223574631646,0.5212062403436711,0.22419458477248436,-0.47553754716880303,9.931534272901985,0.29748951482182373,-0.6305705957202032,2011.5,11354,Queens:North Queens
11355,0.01793742974896965,0.02597531847133758,0.05786928624953166,0.01563085425252904,0.04866640127388535,0.13676704758336455,0.03427079430498314,0.012492974896965155,0.006018171599850131,0.014641485575121769,0.02641438741101536,0.19167408205320347,0.031173894717122515,0.03309408954664668,0.010221524915698763,0.05761755339078306,85408.0,70856.0,21288.0,-0.5505792009924998,0.09833973398276508,0.5031203165979767,0.19545382096857564,-0.7165070348920501,8.784446421880855,-0.2950226208476372,-1.562108856732187,2011.5,11355,Queens:North Queens
11356,0.008966312283847828,0.020921395328978267,0.04506639340762564,0.019320268135434013,0.03398659322829939,0.12582724904999787,0.01502924725673541,0.008795525383203108,0.0017505657316083858,0.0189146492464028,0.013705648776738823,0.20778361299688314,0.02724051065283293,0.020409034627044104,0.008731480295461337,0.08114512616882286,23421.0,18138.0,26957.5,-0.3371687371509643,0.0982238162332949,0.49547414713291493,0.19835280264378136,-0.6914856411655559,8.232067375432305,-0.5809786431414137,-1.6096330214579337,2011.5,11356,Queens:North Queens
11357,0.00846080429231047,0.010163283204787578,0.052570485206490054,0.011736786442077023,0.07089792865065649,0.15820156318518327,0.019978332086568473,0.026001496117832177,0.005868393221038512,0.03034797637165631,0.019849356411380817,0.212113395413625,0.008409214022235406,0.012226894007790132,0.005339592952769107,0.0970412980111951,38767.0,31586.0,35254.5,-0.02529602027950227,0.15753088967420742,0.4914489127350582,0.3205193911167512,0.33395149616887987,10.00177986431759,0.33474698338223063,0.6434024592716083,2011.5,11357,Queens:North Queens
11358,0.011325436209380504,0.019035803852515874,0.053519022464116106,0.01220585881222987,0.08426711488180993,0.1736967077530548,0.02335787844832186,0.015700869750813723,0.006016221119470679,0.02337121818472867,0.017034843391494584,0.188250360172883,0.017194920228376286,0.012912864841790727,0.007670348433914946,0.09315137932874447,37482.0,30611.0,30763.5,-0.1942872580874555,0.14518969105170482,0.5192892588442453,0.27949820841657946,-0.01066128436197029,10.101495384451205,0.3858004248016491,0.18085188235222327,2011.5,11358,Queens:North Queens
11360,0.01568793724825101,0.007313970744117024,0.049422302310790756,0.009036463854144583,0.1079870680517278,0.24605151579393683,0.006359974560101759,0.0508002967988128,0.013408946364214544,0.03829234683061268,0.011023955904176383,0.17691329234683062,0.0044519821920712315,0.0049819800720797116,0.001828492686029256,0.1021570913716345,18868.0,16034.0,42340.0,0.24156622037429942,0.1996767012931948,0.5258903964384143,0.3796907948986078,0.8319545486456869,12.193515475938096,1.4694350307044644,2.5429557997244507,2011.5,11360,Queens:North Queens
11361,0.007392138744757979,0.010892742909943848,0.04392636292558107,0.01316724713910015,0.08662662591513257,0.18647380766223615,0.014162342739356031,0.020044068519439903,0.009346790816689175,0.023366977041722935,0.01782287298315445,0.17997014713199233,0.011656834174426043,0.01617030350415808,0.0067524344303077685,0.09558248631743549,28138.0,22818.0,32570.5,-0.12619794048860708,0.16898855640059707,0.5289110811002914,0.31948087052568297,0.3256461783037934,10.074454474376289,0.3718718985195465,0.5713201363347329,2011.5,11361,Queens:Northeast Queens
11362,0.00395088397475982,0.007589108066624979,0.03490421238133136,0.009436643738275255,0.10326303223239156,0.23506338468535048,0.010772554147006994,0.0403615485191291,0.01284747882439884,0.027570916946165654,0.009351372861122163,0.1541413222670684,0.0068216701722471716,0.010914672275595476,0.003069751577511227,0.10152919106361208,17591.0,14328.0,38442.0,0.09461418978390568,0.1960945938263885,0.52060712864533,0.37675828419747176,0.8077343883315848,11.025211756011597,0.864046273085127,1.7663948512006176,2011.5,11362,Queens:Northeast Queens
11363,0.0,0.0016456783056668575,0.04486262163709216,0.006081854607899256,0.10203205495134515,0.2660990269032627,0.015311963365769891,0.0407842014882656,0.020535203205495137,0.028119633657698914,0.00472238122495707,0.12085002862049227,0.0016456783056668575,0.002647395535203206,0.0,0.07033485975958786,6988.0,5586.0,48132.0,0.45943583618350814,0.21637092157985116,0.5575271894676588,0.38826987079710973,0.9048987115028626,10.779979965655409,0.7363556633246877,2.1006902110110586,2011.5,11363,Queens:Northeast Queens
11364,0.0038857474264172827,0.005219660722053066,0.049354791938524,0.011584746991445558,0.09853559518631289,0.18787878787878787,0.013411628244164128,0.02103813252138611,0.00929389589676671,0.028940118892272004,0.011483253588516746,0.18399304045237058,0.0046976946498477595,0.008583442076265043,0.0036247643903146295,0.09711468754530955,34485.0,27827.0,32837.5,-0.11623544867666823,0.16942148760330578,0.5138031027983181,0.32979244364983484,0.41216545315414665,10.308460200086994,0.49332348708409285,0.7892534915615712,2011.5,11364,Queens:Northeast Queens
11365,0.012711864406779662,0.013140354218244145,0.06903446962483337,0.012771376880594171,0.06705865549419159,0.16156446391163587,0.01585412302418587,0.01766330222814702,0.009212530946486382,0.017889449628642164,0.00986716815844601,0.15433964959055418,0.011497809940963626,0.015473243191772994,0.0060583698343172725,0.09058988764044944,42008.0,33320.0,26859.0,-0.34086687991590703,0.11181203580270424,0.46313797371929155,0.24144969140811426,-0.32997724362099257,9.208960198057515,-0.07554290257041485,-0.7463870261073144,2011.5,11365,Queens:Central Queens
11366,0.011190957406991543,0.008795568530578637,0.048094917284227864,0.0076727299947600865,0.09660154203158919,0.2054045961524066,0.008907852384160492,0.01886368740175163,0.015532599745489931,0.024927015495171796,0.013212066771464932,0.15300546448087432,0.005988472191032263,0.017216857549217757,0.008496144921027023,0.07859869750729845,13359.0,10735.0,31625.0,-0.16183640409777791,0.16561868403323604,0.5008982708286549,0.3311131353763185,0.4227835990502185,10.026012426079797,0.34895876489806654,0.6099059598505072,2011.5,11366,Queens:Central Queens
11367,0.012102497696541075,0.008690888263565507,0.04854695320865603,0.011517294618621908,0.07338695619692706,0.16277361356675052,0.005217023184002789,0.02639639415294967,0.0073835196852354516,0.018166197674129043,0.007508030978409743,0.15162985282765146,0.005540752546255945,0.013322708369649126,0.005017805114923924,0.07880319745000872,40157.0,30678.0,26455.0,-0.35641985096321094,0.12731279727071246,0.4404711507333715,0.2889679394200101,0.0686266035242404,8.798858231441592,-0.28799317168456584,-0.5757864191235365,2011.5,11367,Queens:Central Queens
11368,0.02249837034860768,0.023333853597627595,0.030329878166343797,0.017159540576024385,0.011862025909161855,0.0557065342134981,0.07461508093170155,0.005242427859234844,0.0017490061421790506,0.01809601630569506,0.03156015020336213,0.18341611656368495,0.02364142160688218,0.02338894040525528,0.021561894618937007,0.06341409671407192,108919.0,81523.0,16236.5,-0.740772657700562,0.04675033740669672,0.5337314885373534,0.08758708208219704,-1.6229835966881456,6.516406687538445,-1.4687981581955825,-3.8325544125842903,2011.5,11368,Queens:West Queens
11369,0.0224811770026871,0.016960651289009497,0.03901614920052146,0.016534972197834355,0.029518184478676136,0.08600047888897758,0.050323250059861116,0.007249847021576609,0.001875648495490462,0.023093090696251366,0.019621145608854126,0.23651794503418735,0.019687657966850243,0.020765158166387316,0.020791763109585762,0.08405831803549099,37587.0,28715.0,20067.0,-0.596650030235542,0.07283103200574667,0.5643839625402399,0.12902371759796544,-1.2749481921618386,8.117427568042142,-0.6404012800180543,-2.511999502415435,2011.5,11369,Queens:West Queens
11370,0.057362983715636494,0.04911574155139205,0.05282787602871651,0.0604272456662581,0.03475748555419367,0.11498861845561198,0.03687620381719489,0.01350026265102434,0.005253020486779898,0.01973384696200315,0.02313080021012082,0.25827350726667836,0.027035545438627212,0.0344247942566976,0.019383645596217823,0.07891787777972334,28555.0,22506.0,18595.5,-0.6519115051548445,0.08914375766065488,0.49800385221502363,0.1793650597328923,-0.8528320768594421,10.439712834880057,0.5617378492478108,-0.9430057327664759,2011.5,11370,Queens:West Queens
